APP,Tool,Avg Line Cov(%),Avg Branch Cov(%),Avg Method Cov(%),Avg Class Cov(%),服务器,运行终端/容器,备注
AmazeFileManager,Monkey*-LLM,36.5,27.04,43.99,51.06,,,
AmazeFileManager,Fastbot,31.34,22.93,39.25,46.83,,,
AmazeFileManager,Monkey*-Random,33.74,24.75,41.41,48.42,,,
AmazeFileManager,Monkey,26.81,19.61,34.46,43.19,,,
AmazeFileManager,HybirdDroid,33.14,24.07,41.01,49.8,,,
AmazeFileManager,DroidbotRandom,23.36,16.13,30.7,39.18,,,
AmazeFileManager,GPTDroid,14.03,9.06,20.08,30.67,st,,
AmazeFileManager,Aurora,32.58333333,23.93,40.38333333,49.38666667,,,
AntennaPod,Monkey*-LLM,49.72,36.41,53.41,66.18,,,
AntennaPod,Fastbot,33.44,22.62,36.99,49.53,,,
AntennaPod,Monkey*-Random,49.09,35.84,53.04,65.63,,,
AntennaPod,Monkey,25.54,14.67,29.01,43.82,,,
AntennaPod,HybirdDroid,48.43,35.7,52.19,65.47,,,
AntennaPod,DroidbotRandom,31.87,20.84,35.71,49.71,,,
AntennaPod,GPTDroid,10.46,4.63,12.31,23.41,st,,
,Aurora,8.143333333,3.446666667,9.93,19.995,,,
MyExpenses,Monkey*-LLM,33.32,17.05,35.42,42.68,,,
MyExpenses,Fastbot,23.95,10.8,24.16,31.47,,,
MyExpenses,Monkey*-Random,31.92,16.43,32.86,38.44,,,
MyExpenses,Monkey,25.47,12.28,25.21,31.22,,,
MyExpenses,HybirdDroid,32.22,16.66,33.85,39.25,,,
MyExpenses,DroidbotRandom,27.556,13,28.786,34.954,,,
MyExpenses,GPTDroid,18.19,7.23,16.74,24.3,st,,
,Aurora,13.28333333,4.946666667,14.15333333,20.76666667,,,
NewPipe,Monkey*-LLM,46.29,32.28,53.28,63.04,,,
NewPipe,Fastbot,11.94,6.7,15.1,30.74,,,
NewPipe,Monkey*-Random,32.12,21.3,37.76,50.97,,,
NewPipe,Monkey,29.45,19.87,34.24,47.26,,,
NewPipe,HybirdDroid,35.97,24.07,42.17,55.15,,,
NewPipe,DroidbotRandom,21.4,13.13,25.73,39.84,,,
NewPipe,GPTDroid,6.38,3.48,8.41,20.36,st,,
,Aurora,16.39333333,9.21,20.73333333,38.73666667,,,
Omni-Notes,Monkey*-LLM,48.38,40.49,49.42,58.93,,,
Omni-Notes,Fastbot,43.12,33.53,44.66,56.24,,,
Omni-Notes,Monkey*-Random,30.34,23.69,32.51,43.76,,,
Omni-Notes,Monkey,23.98,17.81,26.21,38,,,
Omni-Notes,HybirdDroid,51.79,43.26,52.77,62.4,,,
Omni-Notes,DroidbotRandom,21.61,16.42,21.8,29.44,,,
OmniNotes,GPTDroid,12.7,9.33,15.42,24.8,st,,
,Aurora,24.40666667,17.93,26.36333333,38,,,
OwnTracks,Monkey*-LLM,62.04,44.32,49.79,48.18,,,
OwnTracks,Fastbot,58.96,42.14,46.17,45.97,,,
OwnTracks,Monkey*-Random,60.34,43.01,48.38,47.75,,,
OwnTracks,Monkey,53.72,38.63,44.49,44.93,,,
OwnTracks,HybirdDroid,59.39,42.93,48.11,47.02,,,
OwnTracks,DroidbotRandom,59.938,43.094,48.554,47.204,,,
OwnTracks,GPTDroid,49.67,35.2,40.11,41.71,st,,
,Aurora,36.21333333,25.31333333,28.12333333,33.01666667,,,
RedReader,Monkey*-LLM,25.15,19.43,28.81,39.4,,,
RedReader,Fastbot,20.34,14.45,24.59,35.3,,,
RedReader,Monkey*-Random,25,18.95,28.65,39.43,,,
RedReader,Monkey,19.18,13.56,22.96,32.04,,,
RedReader,HybirdDroid,23.57,17.04,27.47,38.47,,,
RedReader,DroidbotRandom,19.18,13.56,22.96,32.04,,,
RedReader,GPTDroid,14.1,9.34,18.9,28.06,st,,
,Aurora,16.74666667,11.56666667,21.04,30.27,,,
Wikipedia,Monkey*-LLM,14.95,9.74,16.28,23.93,,,
Wikipedia,Fastbot,14.67,9.5,16.33,23.88,,,
Wikipedia,Monkey*-Random,14.8,9.61,16.12,23.76,,,
Wikipedia,Monkey,10.79,6.98,12.15,19.43,,,
Wikipedia,HybirdDroid,14.2,9.26,15.67,23.25,,,
Wikipedia,DroidbotRandom,12.64,8.19,14.42,22.05,,,
Wikipedia,GPTDroid,4.66,2.77,6.52,10.83,st,,
,Aurora,12.81666667,8.186666667,14.36666667,22.51,,,
AlarmClock,Monkey*-LLM,79.52,48.26,80.68,89.6,,,
AlarmClock,Fastbot,76.79,43.12,76.18,87.2,,,
AlarmClock,Monkey*-Random,78.76,47.34,80,88.8,,,
AlarmClock,Monkey,76.74,44.59,76.18,86.4,,,
AlarmClock,HybirdDroid,78.1,45.87,79.4,86.67,,,
