,,,优化后,,,,,优化前,,,,,,,,,,,,
,App,控件遮挡问题数量,,,,,,,,,,,,,,,,,,
,Alarm,0,78.24,47.25,78.93,87.00,,79.52,48.26,80.68,89.60,,,,,,,,,
,Amaze,4,34.68,25.62,42.20,49.39,,36.50,27.04,43.99,51.06,,,,,,,,,
,chess,0,46.49,41.82,55.86,66.52,,46.83,41.54,56.60,67.71,,,,,,,,,
,Myexpenses,12,33.32,17.05,35.42,42.68,,32.71,17.20,33.75,39.07,,,,,,,,,
,Newpipe,3,44.05,30.41,51.09,61.22,,46.29,32.28,53.28,63.04,,,,,,,,,
,OmniNotes,4,48.38,40.49,49.42,58.93,,44.66,36.74,45.77,56.13,,,,,,,,,
,Owntracks,1,53.77,39.23,44.19,44.55,,62.04,44.32,49.79,48.18,,,,,,,,,
,Redreader,1,22.81,16.38,26.71,37.19,,25.15,19.43,28.81,39.40,,,,,,,,,
,Wikipedia,1,14.95,9.74,16.28,23.93,,14.86,9.67,16.30,23.93,,,,,,,,,
,Feeder,0,,,,,,34.16,19.38,52.37,63.04,,,,,,,,,
,Antennapod,4,45.81,32.498,50.03,63.578,,49.72,36.41,53.41,66.18,,,,,,,,,
,AnkiDroid,7,39.8475,25.36,41.74,48.53,,40.14,25.55,41.97,48.196,,,,,,,,,
