Comparison,Our Tool,Baseline,Metric,n,Mean Diff (Ours-Baseline),p (two-sided),"p (one-sided, ours>baseline)","p (two-sided, formatted)",Significant (alpha=0.05),Cohen's d (paired),Cohen's d magnitude,Rank-biserial r,Rank-biserial magnitude,Cliff's delta (paired)
HybridDroid vs Monkey,HybridDroid,Monkey,Line,12,10.39,0.00048828125,0.000244140625,<0.001,True,1.24,large,1.0,large,1.0
HybridDroid vs Monkey,HybridDroid,Monkey,Branch,12,8.12,0.00048828125,0.000244140625,<0.001,True,1.048,large,1.0,large,1.0
HybridDroid vs Monkey,HybridDroid,Monkey,Method,12,10.87,0.00048828125,0.000244140625,<0.001,True,1.312,large,1.0,large,1.0
HybridDroid vs Monkey,HybridDroid,Monkey,Class,12,10.53,0.00048828125,0.000244140625,<0.001,True,1.339,large,1.0,large,1.0
HybridDroid vs Monkey*,HybridDroid,Monkey*,Line,12,3.76,0.6630859375,0.33154296875,0.6631,False,0.502,medium,0.154,small,0.0
HybridDroid vs Monkey*,HybridDroid,Monkey*,Branch,12,3.14,0.30126953125,0.150634765625,0.3013,False,0.491,small,0.359,medium,0.0
HybridDroid vs Monkey*,HybridDroid,Monkey*,Method,12,3.93,0.20361328125,0.101806640625,0.2036,False,0.549,medium,0.436,medium,0.0
HybridDroid vs Monkey*,HybridDroid,Monkey*,Class,12,3.42,0.33935546875,0.169677734375,0.3394,False,0.49,small,0.333,medium,0.0
HybridDroid vs Fastbot,HybridDroid,Fastbot,Line,12,6.25,0.02099609375,0.010498046875,0.0210,True,0.735,medium,0.744,large,0.667
HybridDroid vs Fastbot,HybridDroid,Fastbot,Branch,12,4.47,0.04248046875,0.021240234375,0.0425,True,0.605,medium,0.667,large,0.5
HybridDroid vs Fastbot,HybridDroid,Fastbot,Method,12,7.02,0.01611328125,0.008056640625,0.0161,True,0.749,medium,0.769,large,0.667
HybridDroid vs Fastbot,HybridDroid,Fastbot,Class,12,6.62,0.00927734375,0.004638671875,0.0093,True,0.776,medium,0.821,large,0.5
HybridDroid vs Droidbot*,HybridDroid,Droidbot*,Line,12,8.21,0.00244140625,0.001220703125,0.0024,True,0.944,large,0.923,large,0.667
HybridDroid vs Droidbot*,HybridDroid,Droidbot*,Branch,12,6.84,0.00341796875,0.001708984375,0.0034,True,0.874,large,0.897,large,0.667
HybridDroid vs Droidbot*,HybridDroid,Droidbot*,Method,12,8.81,0.00146484375,0.000732421875,0.0015,True,0.986,large,0.949,large,0.833
HybridDroid vs Droidbot*,HybridDroid,Droidbot*,Class,12,8.77,0.0009765625,0.00048828125,<0.001,True,0.947,large,0.974,large,0.833
HybridDroid vs GPTDroid,HybridDroid,GPTDroid,Line,12,23.37,0.00048828125,0.000244140625,<0.001,True,2.009,large,1.0,large,1.0
HybridDroid vs GPTDroid,HybridDroid,GPTDroid,Branch,12,17.35,0.00048828125,0.000244140625,<0.001,True,1.793,large,1.0,large,1.0
HybridDroid vs GPTDroid,HybridDroid,GPTDroid,Method,12,24.26,0.00048828125,0.000244140625,<0.001,True,2.074,large,1.0,large,1.0
HybridDroid vs GPTDroid,HybridDroid,GPTDroid,Class,12,25.07,0.00048828125,0.000244140625,<0.001,True,1.948,large,1.0,large,1.0
HybridDroid vs Aurora,HybridDroid,Aurora,Line,12,16.16,0.00048828125,0.000244140625,<0.001,True,1.436,large,1.0,large,1.0
HybridDroid vs Aurora,HybridDroid,Aurora,Branch,12,12.13,0.00048828125,0.000244140625,<0.001,True,1.277,large,1.0,large,1.0
HybridDroid vs Aurora,HybridDroid,Aurora,Method,12,18.1,0.00048828125,0.000244140625,<0.001,True,1.487,large,1.0,large,1.0
HybridDroid vs Aurora,HybridDroid,Aurora,Class,12,17.17,0.00048828125,0.000244140625,<0.001,True,1.342,large,1.0,large,1.0
HybridMonkey vs Monkey,HybridMonkey,Monkey,Line,12,13.19,0.00048828125,0.000244140625,<0.001,True,1.563,large,1.0,large,1.0
HybridMonkey vs Monkey,HybridMonkey,Monkey,Branch,12,10.28,0.00048828125,0.000244140625,<0.001,True,1.475,large,1.0,large,1.0
