simk=5,,,,,,,simk=6,,,,,,,simk=9 需要重跑，部分实验的apikey没有额度导致失效,,,,,
app,line,branch,method,class,,,app,line,branch,method,class,,,app,line,branch,method,class,
AlarmClock,78.084,46.24,79.102,85.6,,,AlarmClock,78.324,46.79,79.552,87.2,,,AlarmClock,77.892,46.79,78.876,84.8,
AmazeFileManager,29.098,20.4,36.432,44.32,,,AmazeFileManager,30.706,22.06,38.012,44.664,,,AmazeFileManager,33.198,24.064,40.702,47.906,
AnkiDroid,27.4,16.316,28.794,35.552,,,AnkiDroid,28.372,16.65,29.862,36.83,,,AnkiDroid,33.418,20.536,35.04,41.736,
AntennaPod,35.984,24.416,39.602,53.53,,,AntennaPod,44.28,31.604,48.074,61.838,,,AntennaPod,47.898,34.604,51.608,64.778,
Chess,36.54,28.61,44.73,58.474,,,Chess,37.326,30.43,44.852,57.882,,,Chess,,,,,
Feeder,9.794,4.43,20.996,33.152,,,Feeder,10.96,4.878,23.13,35.76,,,Feeder,,,,,
MyExpenses,29.218,14.552,30.436,35.95,,,MyExpenses,30.296,15.19,31.42,36.386,,,MyExpenses,26.2,13.308,27.106,32.524,
NewPipe,41.55,28.476,48.238,58.884,,,NewPipe,34.482,23.058,40.62,53.128,,,NewPipe,24.656,15.534,29.618,44.62,
Omni-Notes,32.894,26.062,34.568,45.52,,,Omni-Notes,33.038,25.016,35.024,46.24,,,Omni-Notes,35.194,27.758,36.824,47.6,
OwnTracks,55.756,40.136,45.744,45.592,,,OwnTracks,58.0775,41.7025,45.2675,44.5525,,,OwnTracks,57.616,41.406,45.954,45.5,
RedReader,22.882,17.198,26.47,36.6,,,RedReader,24.196,17.996,28.06,38.712,,,RedReader,24.56,19.068,28.06,38.608,
Wikipedia,13.834,9.054,15.294,22.964,,,Wikipedia,15.25,9.848,16.43,23.818,,,Wikipedia,13.858,9.06,15.304,23.076,
,34.4195,22.99083333,37.53383333,46.34483333,,,,35.44229167,23.76854167,38.358625,47.250875,,,,37.449,25.2128,38.9092,47.1148,
simk=7 需要重跑，部分实验的apikey没有额度导致失效,,,,,,,simk=8,,,,,,,simk=10,,,,,
app,line,branch,method,class,,,app,line,branch,method,class,,,app,line,branch,method,class,
AlarmClock,77.46,46.422,78.426,86.4,,,AlarmClock,79.522,48.258,80.676,89.6,,,AlarmClock,78.66,47.34,79.552,87.2,
AmazeFileManager,31.234,22.892,38.666,45.66,,,AmazeFileManager,36.502,27.038,43.994,51.062,,,AmazeFileManager,33.598,24.564,41.276,48.424,
AnkiDroid,28.006,16.622,29.512,35.922,,,AnkiDroid,40.14,25.55,41.974,48.196,,,AnkiDroid,34.592,21.868,36.14,41.942,
AntennaPod,40.72,28.44,44.23,57.524,,,AntennaPod,49.716,36.408,53.41,66.176,,,AntennaPod,48.832,35.618,52.732,66.298,
Chess,33.982,27.544,41.264,52.202,,,Chess,34.16,19.38333333,52.37,63.04333333,,,Chess,44.414,37.658,53.312,66.018,
Feeder,11.71,5.548,23.488,36.198,,,Feeder,46.826,41.536,56.596,67.712,,,Feeder,13.592,6.806,25.374,37.61,
MyExpenses,29.186,14.446,30.268,35.702,,,MyExpenses,32.706,17.196,33.752,39.066,,,MyExpenses,23.61,11.432,25.176,31.152,
NewPipe,16.244,9.176,20.354,37.82,,,NewPipe,46.28666667,32.27666667,53.28333333,63.03666667,,,NewPipe,39.708,27.204,46.198,57.434,
Omni-Notes,29.1325,21.565,31.1475,42.7,,,Omni-Notes,39.34,30.75333333,41.25666667,53.46666667,,,Omni-Notes,40.06,32.996,41.462,52.32,
OwnTracks,55.886,40.072,45.342,45.402,,,OwnTracks,62.04333333,44.31666667,49.78666667,48.18333333,,,OwnTracks,55.24,40.298,44.916,44.834,
RedReader,23.794,17.946,27.552,38.2,,,RedReader,25.15333333,19.43333333,28.81333333,39.40333333,,,RedReader,24.442,18.534,28.07,38.78,
Wikipedia,12.822,8.432,14.526,22.278,,,Wikipedia,14.86,9.67,16.3,23.93333333,,,Wikipedia,13.49,8.862,15.232,23.078,
,32.51470833,21.59208333,35.39795833,44.66733333,,,,42.27127778,29.31827778,46.01766667,54.40655556,,,,37.51983333,26.09833333,40.78666667,49.59083333,
,36.80470833,25.09958333,40.61704167,52.72120833,,,,,,,,,,,,,,,
