App,k=5,k=6,k=7,k=8,k=9,k=10,Best k(s),k=8 best?,k=8 rank
AlarmClock,78.084,78.324,77.460,79.522,77.892,78.660,8,Yes,1
AmazeFileManager,29.098,30.706,31.234,36.502,33.198,33.598,8,Yes,1
AnkiDroid,27.400,28.372,28.006,40.140,33.418,34.592,8,Yes,1
AntennaPod,35.984,44.280,40.720,49.716,47.898,48.832,8,Yes,1
Chess,36.540,37.326,33.982,34.160,,44.414,10,No,4
Feeder,9.794,10.960,11.710,46.826,,13.592,8,Yes,1
MyExpenses,29.218,30.296,29.186,32.706,26.200,23.610,8,Yes,1
NewPipe,41.550,34.482,16.244,46.287,24.656,39.708,8,Yes,1
Omni-Notes,32.894,33.038,29.133,39.340,35.194,40.060,10,No,2
OwnTracks,55.756,58.078,55.886,62.043,57.616,55.240,8,Yes,1
RedReader,22.882,24.196,23.794,25.153,24.560,24.442,8,Yes,1
Wikipedia,13.834,15.250,12.822,14.860,13.858,13.490,6,No,2
Mean (across apps),34.419,35.442,32.515,42.271,37.449,37.520
