App,Widget occlusion issues,Before Line(%),After Line(%),Δ Line (After-Before),Before Branch(%),After Branch(%),Δ Branch (After-Before),Before Method(%),After Method(%),Δ Method (After-Before),Before Class(%),After Class(%),Δ Class (After-Before)
AlarmClock,0,79.52,78.24,-1.28,48.26,47.25,-1.01,80.68,78.93,-1.75,89.60,87.00,-2.60
AmazeFileManager,4,36.50,34.68,-1.82,27.04,25.62,-1.42,43.99,42.20,-1.79,51.06,49.39,-1.67
AnkiDroid,7,40.14,39.85,-0.29,25.55,25.36,-0.19,41.97,41.74,-0.23,48.20,48.53,+0.33
AntennaPod,4,49.72,45.81,-3.91,36.41,32.50,-3.91,53.41,50.03,-3.38,66.18,63.58,-2.60
Chess,0,46.83,46.49,-0.34,41.54,41.82,+0.28,56.60,55.86,-0.74,67.71,66.52,-1.19
Feeder,0,34.16,,,19.38,,,52.37,,,63.04,,
MyExpenses,12,32.71,33.32,+0.61,17.20,17.05,-0.15,33.75,35.42,+1.67,39.07,42.68,+3.61
NewPipe,3,46.29,44.05,-2.24,32.28,30.41,-1.87,53.28,51.09,-2.19,63.04,61.22,-1.82
Omni-Notes,4,44.66,48.38,+3.72,36.74,40.49,+3.75,45.77,49.42,+3.65,56.13,58.93,+2.80
OwnTracks,1,62.04,53.77,-8.27,44.32,39.23,-5.09,49.79,44.19,-5.60,48.18,44.55,-3.63
RedReader,1,25.15,22.81,-2.34,19.43,16.38,-3.05,28.81,26.71,-2.10,39.40,37.19,-2.21
Wikipedia,1,14.86,14.95,+0.09,9.67,9.74,+0.07,16.30,16.28,-0.02,23.93,23.93,+0.00
"Mean (12 apps, available values)",,42.71,42.03,-1.46,29.82,29.62,-1.14,46.39,44.72,-1.13,54.63,53.05,-0.82
"Mean (11 apps, both Before & After)",,43.49,42.03,-1.46,30.77,29.62,-1.14,45.85,44.72,-1.13,53.86,53.05,-0.82
